a	a	N;ACC;SG	a	a
a	a	N;DAT;SG	a	a
a	a	N;NOM;SG	a	a
a	ʔas	N;ACC;PL	a	as
a	ʔas	N;DAT;PL	a	as
a	ʔas	N;GEN;PL	a	as
a	ʔas	N;GEN;SG	a	as
a	ʔas	N;NOM;PL	a	as
abaʁbaɪ̯tn̩	abaʁbaɪ̯tənt	V.PTCP;PRS	abarbeiten	abarbeitend
abaʁbaɪ̯tn̩	abaʁbaɪ̯tn̩	V;NFIN	abarbeiten	abarbeiten
abaʁbaɪ̯tn̩	apɡəaʁbaɪ̯tət	V.PTCP;PST	abarbeiten	abgearbeitet
abituːɐ̯	abituːʀə	N;ACC;PL	abitur	abiture
abituːɐ̯	abituːʀə	N;GEN;PL	abitur	abiture
abituːɐ̯	abituːʀən	N;DAT;PL	abitur	abituren
abituːɐ̯	abituːʀə	N;NOM;PL	abitur	abiture
abituːɐ̯	abituːɐ̯	N;ACC;SG	abitur	abitur
abituːɐ̯	abituːɐ̯	N;DAT;SG	abitur	abitur
abituːɐ̯	abituːɐ̯	N;NOM;SG	abitur	abitur
abituːɐ̯	abituːɐ̯s	N;GEN;SG	abitur	abiturs
aboː	aboː	N;ACC;SG	abo	abo
aboː	aboː	N;DAT;SG	abo	abo
aboː	aboː	N;NOM;SG	abo	abo
aboː	aboːs	N;ACC;PL	abo	abos
aboː	aboːs	N;DAT;PL	abo	abos
aboː	aboːs	N;GEN;PL	abo	abos
aboː	aboːs	N;GEN;SG	abo	abos
aboː	aboːs	N;NOM;PL	abo	abos
abɔniːʁən	abɔniːʁənt	V.PTCP;PRS	abonnieren	abonnierend
abɔniːʁən	abɔniːʁən	V;IND;PRS;1;PL	abonnieren	abonnieren
abɔniːʁən	abɔniːʁən	V;IND;PRS;3;PL	abonnieren	abonnieren
abɔniːʁən	abɔniːʁən	V;NFIN	abonnieren	abonnieren
abɔniːʁən	abɔniːʁən	V;SBJV;PRS;1;PL	abonnieren	abonnieren
abɔniːʁən	abɔniːʁən	V;SBJV;PRS;3;PL	abonnieren	abonnieren
abɔniːʁən	abɔniːʁəst	V;SBJV;PRS;2;SG	abonnieren	abonnierest
abɔniːʁən	abɔniːʁət	V;SBJV;PRS;2;PL	abonnieren	abonnieret
abɔniːʁən	abɔniːʁə	V;IND;PRS;1;SG	abonnieren	abonniere
abɔniːʁən	abɔniːʁə	V;SBJV;PRS;1;SG	abonnieren	abonniere
abɔniːʁən	abɔniːʁə	V;SBJV;PRS;3;SG	abonnieren	abonniere
abɔniːʁən	abɔniːɐ̯st	V;IND;PRS;2;SG	abonnieren	abonnierst
abɔniːʁən	abɔniːɐ̯tən	V;IND;PST;1;PL	abonnieren	abonnierten
abɔniːʁən	abɔniːɐ̯tən	V;IND;PST;3;PL	abonnieren	abonnierten
abɔniːʁən	abɔniːɐ̯tən	V;SBJV;PST;1;PL	abonnieren	abonnierten
abɔniːʁən	abɔniːɐ̯tən	V;SBJV;PST;3;PL	abonnieren	abonnierten
